net,length_um
u_dmem.dout0_sram\[6\],125.83
u_alu._1079_,125.74
u_alu._0390_,125.62
u_alu._0605_,125.53
u_pc_next_logic._0644_,125.52
u_decoder_controller.use_pc_as_alu_a,124.95
u_alu._0888_,124.82
u_alu._0501_,123.82
u_alu._0890_,123.46
u_pc_next_logic._0523_,123.22
u_dmem.dout0_sram\[7\],122.99
u_alu._0485_,122.76
u_imm_gen.imm_i\[10\],122.34
net192,122.32
net242,121.72
u_alu._0494_,121.715
u_wb_mux._014_,121.52
u_alu.Result\[2\],121.38
u_alu._0545_,121.17
u_alu._0989_,121.06
u_imm_gen.imm_i\[16\],120.99
net353,120.94
u_alu.Result\[6\],120.78
u_alu.B\[13\],120.68
dbg_pc_current[17],120.22
u_alu._0055_,120.08
u_alu._0468_,119.62
u_alu._0904_,119.52
_002_,119.44
net2,119.41
u_decoder_controller._09_,118.78
u_alu._0692_,118.44
u_wb_mux._062_,118.01
u_alu._0340_,117.885
u_alu._1077_,117.6
net204,117.34
u_alu.B\[10\],117.1
net115,116.62
u_alu._0612_,116.02
net177,115.38
u_alu._0960_,115.1
u_alu._0807_,114.86
u_alu._0695_,114.33
u_alu.Result\[11\],114.325
u_imm_gen.imm_u\[26\],114.23
u_alu.Result\[12\],114.18
_053_,113.4
u_regfile._009_,113.2
_264_,113.08
u_alu.B\[11\],112.98
net329,112.96
u_alu._0387_,112.91
u_alu._0550_,112.8
u_alu._1021_,112.74
u_pc_next_logic._0549_,112.34
u_alu._0903_,111.8
u_imm_gen.imm_i\[31\],111.8
u_alu._0070_,111.7
u_alu._0558_,111.49
u_alu._0601_,111.36
net396,111.12
net203,110.96
u_imm_gen.imm_i\[25\],110.86
u_alu._0365_,110.84
u_alu._0997_,110.58
u_alu._0896_,110.5
u_pc_next_logic.pc_plus4\[20\],110.48
u_alu._0412_,109.88
u_decoder_controller.alu_src,109.82
u_regfile.rd1_sram\[8\],109.15
net159,109.12
u_alu.ALUControl\[2\],108.895
u_pc_next_logic._0482_,108.1
u_alu._0774_,107.74
u_alu._0670_,107.6
u_alu._0524_,107.46
u_alu._0999_,107.46
u_alu._1072_,107.28
u_dmem.read_data\[0\],106.86
u_alu._0503_,105.84
u_alu._0073_,105.2
u_alu.Result\[9\],105.14
rst_n,104.99
dbg_instr[25],104.9
net199,104.85
u_imm_gen.imm_u\[25\],104.68
net169,104.68
dbg_instr[9],104.44
u_alu._1094_,103.76
u_dmem.dout0_sram\[3\],103.67
dbg_pc_current[16],103.06
u_alu._0672_,103.06
u_pc_next_logic._0503_,102.88
u_alu.Result\[7\],102.82
u_alu.A\[27\],102.765
u_alu._0017_,102.6
net540,102.43
u_alu._0554_,102.34
u_regfile._010_,102.34
u_alu._0859_,102.14
dbg_wb_data[8],102.11
u_alu._0533_,102.04
u_alu._0730_,102
u_pc_next_logic._0648_,101.98
u_pc_next_logic._0669_,101.88
dbg_wb_data[12],101.77
u_alu._0363_,101.74
dbg_instr[8],101.68
dbg_pc_current[7],101.68
dbg_wb_data[3],101.68
dbg_instr[10],101.65
dbg_instr[31],101.65
dbg_instr[4],101.65
dbg_pc_current[24],101.65
dbg_pc_current[31],101.65
dbg_wb_data[25],101.65
u_alu.Result\[13\],101.64
dbg_instr[19],101.31
dbg_instr[24],101.31
dbg_pc_current[4],101.31
dbg_wb_data[30],101.31
u_wb_mux._057_,101.23
dbg_instr[0],101.22
dbg_instr[15],101.22
dbg_instr[16],101.22
dbg_pc_current[10],101.22
dbg_pc_current[14],101.22
dbg_pc_current[15],101.22
dbg_pc_current[1],101.22
dbg_pc_current[28],101.22
dbg_wb_data[11],101.22
dbg_wb_data[4],101.22
dbg_wb_data[5],101.22
dbg_wb_data[6],101.22
dbg_instr[27],101.09
dbg_wb_data[18],101.09
dbg_instr[20],101
dbg_instr[1],100.97
dbg_instr[26],100.97
dbg_instr[6],100.97
dbg_pc_current[27],100.97
dbg_instr[13],100.63
dbg_instr[30],100.63
dbg_wb_data[17],100.54
_086_,100.46
dbg_instr[17],100.41
dbg_pc_current[19],100.41
net13,100.41
_228_,100.345
dbg_instr[12],100.29
dbg_pc_current[21],100.29
dbg_pc_current[22],100.29
dbg_wb_data[16],100.29
dbg_wb_data[1],100.29
dbg_wb_data[9],100.29
dbg_pc_current[25],100.07
dbg_pc_current[5],100.07
dbg_wb_data[27],100.07
dbg_instr[5],99.98
dbg_wb_data[0],99.98
dbg_wb_data[13],99.98
dbg_wb_data[28],99.98
dbg_wb_data[29],99.98
dbg_pc_current[18],99.95
dbg_pc_current[8],99.95
dbg_wb_data[10],99.95
u_alu._0694_,99.94
net4,99.87
dbg_instr[28],99.61
dbg_instr[2],99.61
dbg_instr[7],99.61
dbg_pc_current[23],99.61
dbg_pc_current[3],99.61
dbg_pc_current[9],99.61
dbg_wb_data[26],99.61
dbg_instr[14],99.52
dbg_instr[21],99.52
dbg_instr[29],99.52
dbg_instr[3],99.52
dbg_pc_current[11],99.52
dbg_pc_current[13],99.52
dbg_pc_current[20],99.52
dbg_pc_current[26],99.52
dbg_pc_current[29],99.52
dbg_pc_current[2],99.52
dbg_pc_current[30],99.52
dbg_wb_data[15],99.52
dbg_wb_data[23],99.52
dbg_wb_data[2],99.52
dbg_wb_data[31],99.52
dbg_wb_data[7],99.52
net3,99.51
dbg_wb_data[21],99.4
dbg_wb_data[22],99.4
u_dmem.read_data\[5\],99.22
u_alu._0162_,99.06
u_alu._0604_,99.06
u_alu._0892_,98.82
u_pc_next_logic._0677_,98.56
u_alu._0877_,98.44
u_alu._0525_,98.32
u_pc_next_logic._0722_,97.82
net119,97.76
u_imm_gen.imm_u\[27\],97.12
u_alu._0571_,96.82
u_dmem.dout0_sram\[5\],96.79
_004_,96.54
u_pc_next_logic.pc_plus4\[28\],96.52
u_pc_next_logic._0542_,96.02
u_alu.Result\[8\],95.96
u_dmem.read_data\[4\],95.8
u_wb_mux._056_,95.34
u_alu._0454_,95.2
net223,95.04
u_alu._0466_,94.8
u_alu._0337_,94.66
u_alu._0080_,94.52
u_alu.A\[2\],94.5
u_dmem.dout0_sram\[4\],94.44
u_alu._0520_,93.665
_083_,93.5
u_alu._0234_,93.46
u_pc_next_logic.pc_plus4\[23\],93.06
u_wb_mux._006_,92.54
u_alu._0332_,92.4
u_dmem._004_,92.38
u_alu._0325_,92.2
u_alu._1108_,92.1
u_imm_gen.imm_i\[9\],92.1
u_alu._0841_,91.96
u_alu._0575_,91.8
u_alu._0030_,91.56
u_pc_next_logic._0279_,91.44
u_pc_next_logic._0570_,91.04
net541,90.9
net121,90.2
u_dmem.read_data\[1\],89.84
u_dmem.dout0_sram\[2\],89.75
u_imm_gen.imm_i\[30\],89.74
u_alu._0155_,89.64
u_alu._0368_,89.32
u_alu._0602_,89.255
u_regfile._014_,89.22
u_regfile.rd2_sram\[8\],89.11
u_imm_gen.imm_i\[26\],89.02
u_alu.B\[15\],89
u_alu._0732_,88.86
_072_,88.66
u_imm_gen.imm_i\[12\],88.58
u_alu._0345_,88.4
u_dmem.dout0_sram\[1\],88.25
u_alu._0504_,88.14
u_alu._0805_,87.88
